Nom,URL,Prix (€),Étoiles,Nombre d'Avis
MSI RTX 3050 Aero ITX 8G OC Carte Graphique V809-4041R Noir,https://www.amazon.fr/MSI-3050-Carte-Graphique-V809-4041R/dp/B09R1PXJTZ,"338,09",4.5,469
"MAXSUN Geforce GTX 1050 Ti 4 Go GDDR5 128 bits Carte graphique pour jeux vidéo GPU Mini ITX Design DisplayPort, HDMI, DVI-D, système de refroidissement à ventilateur unique",https://www.amazon.fr/MAXSUN-GTX-1050Ti-Transformateur-refroidissement/dp/B08SMB4LFC,"135,82",4.1,71
"SAPLOS GTX 1050 Carte Graphique pour PC, 4Go GDDR5 128-bit, HDMI DisplayPort DVI-D, GPU, Carte Vidéo Profil Bas, PCI Express x16, DirectX 12",https://www.amazon.fr/SAPLOS-Graphique-128-bit-DisplayPort-Express/dp/B0DG5HW5MX,"116,66",4.9,12
"ASUS GeForce RTX 3050 LP BRK OC Edition 6 Go GDDR6 (IP5X résistance à la poussière, double roulement à billes, support en acier inoxydable, PCIe 4.0, DLSS 3, HDMI 2.1, DisplayPort 1.4a, DVI-D et plus)",https://www.amazon.fr/ASUS-r%C3%A9sistance-poussi%C3%A8re-inoxydable-DisplayPort/dp/B0CVQMD2DF,"233,20",4.3,17
MAXSUN Cartes Graphiques Geforece GT 1030 Carte Graphique 2 Go GDDR5 64 Bits PCIe 3.0 DirectX 12 ITX HDCP Ready Low Profile,https://www.amazon.fr/MAXSUN-Geforece-GT-1030-graphique/dp/B09574CF5V,"74,99",4.1,99
"SAPLOS GT 730 4GB Carte Graphique, 2 HDMI, DisplayPort, VGA, DDR3 64-bit, Low Profile Carte Video PC, Computer GPU, Low Power, PCI Express x8, DirectX 12",https://www.amazon.fr/SAPLOS-Graphique-DisplayPort-Profile-Computer/dp/B0CW1PYF4P,"79,99",4.1,332
"QTHREE Radeon RX 550 Low Profile Carte Graphique, 4GB GDDR5 128-bit, DVI-D, HDMI, VGA, PCI Express x8, Carte Video PC, DirectX 12, Computer GPU",https://www.amazon.fr/QTHREE-Radeon-RX-550-Graphique/dp/B0BJ6ZZCBF,"83,32",4.2,87
"GIGABYTE B650 Eagle Carte mère - AMD Ryzen série 9000, VRM 12+2+2 Phases, jusqu'à 7600 MHz DDR5 (OC), 1xPCIe 5.0 + 2xPCIe 4.0 M.2, LAN GbE, USB 3.2 Gen 2",https://www.amazon.fr/GIGABYTE-B650-Eagle-Carte-m%C3%A8re/dp/B0DBM78F2D,"129,07",4.0,16
Prime X870-P WiFi,https://www.amazon.fr/ASUS-90MB1IS0-M0EAY0-Prime-X870-P-WiFi/dp/B0DGQ6RGD6,"216,66",3.8,222
"ASUS ROG Strix 1000W Platinum (Fully Modular Power Supply, 80 Plus Platinum Certified, ATX 3.1, Cybenetics Lambda A+, GaN MOSFET, GPU-First Intelligent Voltage Stabilizer, 10-Year Warranty)",https://www.amazon.fr/ASUS-Certified-Cybenetics-Intelligent-Stabilizer/dp/B09T9NQZY7,"177,41",4.3,16
